AllgridID,longitude,latitude,x,y
16415,1.213530e+02,3.168183e+01,47,125
16416,1.213636e+02,3.168172e+01,48,125
16417,1.213741e+02,3.168161e+01,49,125
16418,1.213847e+02,3.168150e+01,50,125
16419,1.213952e+02,3.168138e+01,51,125
16420,1.214058e+02,3.168126e+01,52,125
16421,1.214163e+02,3.168115e+01,53,125
16422,1.214268e+02,3.168103e+01,54,125
16423,1.214374e+02,3.168091e+01,55,125
16424,1.214479e+02,3.168079e+01,56,125
16425,1.214585e+02,3.168067e+01,57,125
16426,1.214690e+02,3.168055e+01,58,125
16427,1.214796e+02,3.168043e+01,59,125
16428,1.214901e+02,3.168031e+01,60,125
16429,1.215006e+02,3.168018e+01,61,125
16430,1.215112e+02,3.168006e+01,62,125
16431,1.215217e+02,3.167993e+01,63,125
16432,1.215323e+02,3.167981e+01,64,125
16433,1.215428e+02,3.167968e+01,65,125
16434,1.215534e+02,3.167955e+01,66,125
16435,1.215639e+02,3.167942e+01,67,125
16436,1.215744e+02,3.167929e+01,68,125
16437,1.215850e+02,3.167916e+01,69,125
16438,1.215955e+02,3.167903e+01,70,125
16439,1.216061e+02,3.167890e+01,71,125
16440,1.216166e+02,3.167877e+01,72,125
16441,1.216272e+02,3.167863e+01,73,125
16442,1.216377e+02,3.167850e+01,74,125
16443,1.216482e+02,3.167836e+01,75,125
16444,1.216588e+02,3.167823e+01,76,125
16445,1.216693e+02,3.167809e+01,77,125
16446,1.216799e+02,3.167795e+01,78,125
16447,1.216904e+02,3.167781e+01,79,125
16448,1.217009e+02,3.167767e+01,80,125
16449,1.217115e+02,3.167753e+01,81,125
16450,1.217220e+02,3.167739e+01,82,125
16451,1.217326e+02,3.167724e+01,83,125
16452,1.217431e+02,3.167710e+01,84,125
16453,1.217536e+02,3.167696e+01,85,125
16454,1.217642e+02,3.167681e+01,86,125
16455,1.217747e+02,3.167666e+01,87,125
16456,1.217853e+02,3.167652e+01,88,125
16457,1.217958e+02,3.167637e+01,89,125
16458,1.218064e+02,3.167622e+01,90,125
16459,1.218169e+02,3.167607e+01,91,125
16460,1.218274e+02,3.167592e+01,92,125
16461,1.218380e+02,3.167577e+01,93,125
16462,1.218485e+02,3.167562e+01,94,125
16463,1.218591e+02,3.167546e+01,95,125
16464,1.218696e+02,3.167531e+01,96,125
16465,1.218801e+02,3.167515e+01,97,125
16466,1.218907e+02,3.167500e+01,98,125
16467,1.219012e+02,3.167484e+01,99,125
16468,1.219118e+02,3.167468e+01,100,125
16469,1.219223e+02,3.167453e+01,101,125
16470,1.219328e+02,3.167437e+01,102,125
16471,1.219434e+02,3.167421e+01,103,125
16472,1.219539e+02,3.167405e+01,104,125
16473,1.219644e+02,3.167388e+01,105,125
16474,1.219750e+02,3.167372e+01,106,125
16475,1.219855e+02,3.167356e+01,107,125
16476,1.219961e+02,3.167339e+01,108,125
16477,1.220066e+02,3.167323e+01,109,125
16478,1.220171e+02,3.167306e+01,110,125
16479,1.220277e+02,3.167289e+01,111,125
16480,1.220382e+02,3.167273e+01,112,125
16481,1.220488e+02,3.167256e+01,113,125
16482,1.220593e+02,3.167239e+01,114,125
16483,1.220698e+02,3.167222e+01,115,125
16484,1.220804e+02,3.167205e+01,116,125
16485,1.220909e+02,3.167187e+01,117,125
16486,1.221015e+02,3.167170e+01,118,125
16487,1.221120e+02,3.167153e+01,119,125
16488,1.221225e+02,3.167135e+01,120,125
16489,1.221331e+02,3.167117e+01,121,125
16490,1.221436e+02,3.167100e+01,122,125
16491,1.221541e+02,3.167082e+01,123,125
16492,1.221647e+02,3.167064e+01,124,125
16493,1.221752e+02,3.167046e+01,125,125
16494,1.221858e+02,3.167028e+01,126,125
16495,1.221963e+02,3.167010e+01,127,125
16496,1.222068e+02,3.166992e+01,128,125
16497,1.222174e+02,3.166974e+01,129,125
16498,1.222279e+02,3.166955e+01,130,125
16499,1.222384e+02,3.166937e+01,131,125
16500,1.222490e+02,3.166918e+01,132,125
16501,1.208681e+02,3.169508e+01,1,126
16502,1.208786e+02,3.169500e+01,2,126
16503,1.208892e+02,3.169493e+01,3,126
16504,1.208997e+02,3.169486e+01,4,126
16505,1.209103e+02,3.169478e+01,5,126
16506,1.209208e+02,3.169471e+01,6,126
16507,1.209314e+02,3.169463e+01,7,126
16508,1.209419e+02,3.169455e+01,8,126
